Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity,Superficial Liquid  Velocity,Experimental Liquid Holdup
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.05329031626,0.02679939819,0.2818434736
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.1126284993,0.02679939819,0.2610499996
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.1890811772,0.02679939819,0.2464679668
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.2620082487,0.02679939819,0.232700474
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.3362391643,0.02679939819,0.2239520927
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.4152550898,0.02679939819,0.2114423177
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.8946399706,0.02679939819,0.1921261823
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.01172,0.373,0.01398132191,0.005193580742,0.09575689356
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.01172,0.373,0.04285030418,0.005193580742,0.09722417394
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.01172,0.373,0.1176019107,0.005193580742,0.09871393743
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.01172,0.373,0.2842938161,0.005193580742,0.09575689356
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.01172,0.373,0.449264243,0.005193580742,0.09722417394
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.01172,0.373,0.7913107521,0.005193580742,0.0874067092
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.01172,0.373,0.9400869222,0.005193580742,0.08100721542
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.01451625112,0.005193580742,0.1265308563
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.04240326407,0.005193580742,0.1227405375
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.1182533293,0.005193580742,0.1265308563
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.2901339226,0.005193580742,0.1154971235
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.4509939574,0.005193580742,0.1120373278
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.8062097265,0.005193580742,0.09477993289
