Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity ,Superficial Liquid Velocity ,Liquid Holdup 
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.08735291091,0.004904714142,0.2026315789
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.09875982023,0.004904714142,0.2005263158
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.107765275,0.004904714142,0.1915789474
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.0147089094,0.003681043129,0.2089473684
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02011218224,0.003681043129,0.2047368421
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02641600055,0.003681043129,0.2042105263
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.0381230917,0.003681043129,0.2005263158
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.04983018285,0.003681043129,0.1952631579
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.06183745583,0.003681043129,0.1931578947
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.07414491063,0.003681043129,0.19
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.08735291091,0.003681043129,0.1836842105
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.09845963841,0.003681043129,0.1826315789
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.107765275,0.003681043129,0.1784210526
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.01440872757,0.002447342026,0.1884210526
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02011218224,0.002447342026,0.1884210526
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.02671618237,0.002447342026,0.1815789474
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.0381230917,0.002447342026,0.1826315789
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.04983018285,0.002447342026,0.1789473684
1.132,997,0.00001782,8.90E-04,7.21E-02,0.14,1,0.00113,0.46,0.06153727401,0.002447342026,0.1757894737
